Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-136.850000,-86.900000,0.000000,bottom
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-136.850000,-83.900000,180.000000,bottom
"C3","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-116.750000,-83.550000,0.000000,bottom
"C4","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-111.900000,-91.250000,90.000000,bottom
"C5","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-109.750000,-91.250000,90.000000,bottom
"C6","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-107.650000,-91.250000,90.000000,bottom
"C7","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-114.268750,-91.306250,90.000000,bottom
"D1","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-42.300000,-53.400000,90.000000,bottom
"D2","D","D_SOD-123",-30.000000,-28.000000,-90.000000,bottom
"D3","D","D_SOD-123",-50.000000,-28.000000,-90.000000,bottom
"D4","D","D_SOD-123",-66.000000,-28.000000,-90.000000,bottom
"D5","D","D_SOD-123",-82.000000,-28.000000,-90.000000,bottom
"D6","D","D_SOD-123",-98.000000,-28.000000,-90.000000,bottom
"D7","D","D_SOD-123",-114.000000,-28.000000,-90.000000,bottom
"D8","D","D_SOD-123",-130.000000,-28.000000,-90.000000,bottom
"D9","D","D_SOD-123",-146.000000,-28.000000,-90.000000,bottom
"D10","D","D_SOD-123",-162.000000,-28.000000,-90.000000,bottom
"D11","D","D_SOD-123",-178.000000,-28.000000,-90.000000,bottom
"D12","D","D_SOD-123",-194.000000,-28.000000,-90.000000,bottom
"D13","D","D_SOD-123",-214.000000,-28.000000,-90.000000,bottom
"D14","D","D_SOD-123",-30.000000,-44.000000,-90.000000,bottom
"D15","D","D_SOD-123",-50.000000,-44.000000,-90.000000,bottom
"D16","D","D_SOD-123",-66.000000,-44.000000,-90.000000,bottom
"D17","D","D_SOD-123",-82.000000,-44.000000,-90.000000,bottom
"D18","D","D_SOD-123",-98.000000,-44.000000,-90.000000,bottom
"D19","D","D_SOD-123",-114.000000,-44.000000,-90.000000,bottom
"D20","D","D_SOD-123",-130.000000,-44.000000,-90.000000,bottom
"D21","D","D_SOD-123",-146.000000,-44.000000,-90.000000,bottom
"D22","D","D_SOD-123",-162.000000,-44.000000,-90.000000,bottom
"D23","D","D_SOD-123",-178.000000,-44.000000,-90.000000,bottom
"D24","D","D_SOD-123",-194.000000,-44.000000,-90.000000,bottom
"D25","D","D_SOD-123",-214.000000,-44.000000,-90.000000,bottom
"D26","D","D_SOD-123",-30.000000,-60.000000,-90.000000,bottom
"D27","D","D_SOD-123",-50.000000,-60.000000,-90.000000,bottom
"D28","D","D_SOD-123",-66.000000,-60.000000,-90.000000,bottom
"D29","D","D_SOD-123",-82.000000,-60.000000,-90.000000,bottom
"D30","D","D_SOD-123",-98.000000,-60.000000,-90.000000,bottom
"D31","D","D_SOD-123",-114.000000,-60.000000,-90.000000,bottom
"D32","D","D_SOD-123",-130.000000,-60.000000,-90.000000,bottom
"D33","D","D_SOD-123",-146.000000,-60.000000,-90.000000,bottom
"D34","D","D_SOD-123",-162.000000,-60.000000,-90.000000,bottom
"D35","D","D_SOD-123",-178.000000,-60.000000,-90.000000,bottom
"D36","D","D_SOD-123",-194.000000,-60.000000,-90.000000,bottom
"D37","D","D_SOD-123",-214.000000,-60.000000,-90.000000,bottom
"D38","D","D_SOD-123",-30.000000,-76.000000,-90.000000,bottom
"D39","D","D_SOD-123",-50.000000,-76.000000,-90.000000,bottom
"D40","D","D_SOD-123",-66.000000,-76.000000,-90.000000,bottom
"D41","D","D_SOD-123",-82.000000,-76.000000,-90.000000,bottom
"D42","D","D_SOD-123",-96.000000,-76.000000,0.000000,bottom
"D43","D","D_SOD-123",-112.000000,-76.000000,0.000000,bottom
"D44","D","D_SOD-123",-128.000000,-76.000000,0.000000,bottom
"D45","D","D_SOD-123",-144.000000,-76.000000,0.000000,bottom
"D46","D","D_SOD-123",-162.000000,-76.000000,-90.000000,bottom
"D47","D","D_SOD-123",-178.000000,-76.000000,-90.000000,bottom
"D48","D","D_SOD-123",-194.000000,-76.000000,-90.000000,bottom
"D49","D","D_SOD-123",-214.000000,-76.000000,-90.000000,bottom
"D50","D","D_SOD-123",-30.000000,-91.750000,-90.000000,bottom
"D51","D","D_SOD-123",-56.000000,-100.000000,180.000000,bottom
"D52","D","D_SOD-123",-72.000000,-99.600000,180.000000,bottom
"D53","D","D_SOD-123",-96.000000,-100.000000,180.000000,bottom
"D54","D","D_SOD-123",-115.200000,-99.150000,-90.000000,bottom
"D55","D","D_SOD-123",-140.000000,-100.000000,180.000000,bottom
"D56","D","D_SOD-123",-153.300000,-92.500000,-90.000000,bottom
"D57","D","D_SOD-123",-178.000000,-92.000000,-90.000000,bottom
"D58","D","D_SOD-123",-194.000000,-92.000000,-90.000000,bottom
"D59","D","D_SOD-123",-214.000000,-92.000000,-90.000000,bottom
"F1","ASMD1206-150","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-42.650000,-45.400000,-90.000000,bottom
"R1","10k","R_0805_2012Metric",-104.400000,-86.150000,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",-39.490000,-34.150000,-90.000000,bottom
"R3","22","R_0805_2012Metric",-46.000000,-39.925000,-90.000000,bottom
"R4","22","R_0805_2012Metric",-38.000000,-39.925000,-90.000000,bottom
"R5","5.1k","R_0805_2012Metric",-44.650000,-34.150000,-90.000000,bottom
"R6","1k","R_0805_2012Metric",-42.500000,-49.800000,-90.000000,bottom
"R7","10k","R_0805_2012Metric",-124.100000,-100.750000,0.000000,bottom
"SW1","SW_Push","SW_SPST_B3U-1000P",-108.200000,-84.450000,-90.000000,bottom
"U1","PRTR5V0U2X","SOT-143",-42.000000,-39.925000,0.000000,bottom
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-124.000000,-90.000000,-45.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",-42.000000,-21.050000,0.000000,bottom
"Y1","16HMz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",-142.850000,-85.450000,90.000000,bottom
